price,mileage,power,make_model,date,fuel,gear,offer_type,version,link;
1200,19000,4.0,Aprilia SR 50,07/2011,Two Stroke Gasoline,Automatic,Used,Racing,/offers/aprilia-sr-50-racing-two-stroke-gasoline-white-d9c5b34e-935c-4a4f-8ac2-745191d42806;
11195,1,64.0,Moto Guzzi V 7,01/2021,Gasoline,Manual,New,IV 850 STONE ROUGH BLACK E5,/offers/moto-guzzi-v-7-iv-850-stone-rough-black-e5-gasoline-black-7f874aa5-f059-439d-b403-5191443eba5f;
1300,14000,1.0,Kymco People S 200i,03/2011,Gasoline,,Used,,/offers/kymco-people-s-200i-gasoline-black-8ed8a438-0830-49e8-abc2-d2550ec3d500;
12500,26350,193.0,BMW S 1000 RR,03/2014,Gasoline,Manual,Used,,/offers/bmw-s-1000-rr-gasoline-black-797d53c3-5d6e-983d-e053-0100007f83b8;
9000,48037,95.0,Honda CRF 1000,02/2017,Gasoline,,Used,,/offers/honda-crf-1000-gasoline-white-160618c7-487c-f519-e053-0100007f4f91;
11990,5200,,Honda CB 1000,07/2018,Gasoline,,Used,R,/offers/honda-cb-1000-r-gasoline-black-67576f66-27b9-4546-9b45-71ce01d8e4ab;
2490,42145,77.0,Honda CBF 600,03/2005,Others,,Used,SA,/offers/honda-cbf-600-sa-others-grey-fac0b4e3-79ea-4079-9690-9db7a90bda55;
17400,850,152.0,Ducati Diavel,05/2020,Gasoline,Manual,Used,X DIAVEL 1260,/offers/ducati-diavel-x-diavel-1260-gasoline-grey-5fa5de23-7c91-4cf8-b51e-2b71ad2e8801;
1890,45061,,Yamaha MT-03,05/2009,Gasoline,,Used,300,/offers/yamaha-mt-03-300-gasoline-black-579365a0-2ef1-4822-9d66-3e49dc1fbd3c;
10995,7975,,Yamaha XVS 1300,01/2016,,,Used,Custom,/offers/yamaha-xvs-1300-custom-black-fd050ede-1dc6-450d-ba7a-c787101c35c0;
12000,1900,101.0,BMW F 850 GS,05/2020,Gasoline,,Used,,/offers/bmw-f-850-gs-gasoline-white-d948b2bf-ffa1-063d-e053-0100007f26cb;
13000,15112,162.0,Ducati Diavel,05/2015,Gasoline,Manual,Used,ABS con kit Touring,/offers/ducati-diavel-abs-con-kit-touring-gasoline-black-7bf84835-d3b1-464e-ba25-3c3400e212ce;
1200,260,125.0,Lambretta,05/2014,Gasoline,,Used,lambretta pato 125n,/offers/lambretta-others-lambretta-pato-125n-gasoline-blue-08d2fa64-96b0-4d59-ade0-73fcc9294940;
6950,16423,48.0,Honda CB 500,05/2019,Gasoline,Manual,Used,X,/offers/honda-cb-500-x-gasoline-grey-83290e0a-c85b-48e3-9cca-b2414fd7d2e7;
7390,23300,46.0,Moto Guzzi V 7,08/2018,Gasoline,Manual,Used,V7 III Limited + Navi,/offers/moto-guzzi-v-7-v7-iii-limited-navi-gasoline-black-19df3683-3e4e-4c68-ab88-61e8f4849197;
8000,27565,114.0,Yamaha Tracer 900,08/2016,Gasoline,,Used,,/offers/yamaha-tracer-900-gasoline-blue-50b54bc3-b167-2d42-e053-0100007fe781;
17900,1,19.0,Moto Guzzi,12/1957,Gasoline,,Used,,/offers/moto-guzzi-others-gasoline-red-dca6aebd-0a6f-3b7c-e053-0100007f2474;
9500,2538,125.0,Kawasaki Z 900,07/2020,Gasoline,,Used,MY20 BJ 2020,/offers/kawasaki-z-900-my20-bj-2020-gasoline-grey-a0c08c85-a091-4aef-9067-bcf9f057b3fe;
10900,13879,58.0,Harley-Davidson,07/1960,Gasoline,,Used,Shovelhead,/offers/harley-davidson-others-shovelhead-gasoline-violet-5ef288c6-34e6-d103-e053-0100007f98e6;
18800,3500,73.0,Harley-Davidson Rocker C,01/2011,Gasoline,Manual,Used,,/offers/harley-davidson-rocker-c-gasoline-black-b0fd49c6-ac06-da77-e053-0100007fadf2;
1800,1000,20.0,LML Star 150,05/2010,Gasoline,,Used,portapacchi,/offers/lml-star-150-portapacchi-gasoline-green-bc4dcf18-aa03-4db0-9fb7-d67e6a7ff1d5;
10490,901,,Yamaha SCR 950,01/2020,,,New,Demo,/offers/yamaha-scr-950-demo-red-9b39dae6-25aa-4549-8582-b1e9fe507b29;
9798,0,,Honda CB 650,01/2021,,,New,R ABS,/offers/honda-cb-650-r-abs-black-9b61dd5b-76fd-4c03-82b7-f3637f950af6;
200,55000,15.0,Aprilia Scarabeo,07/2002,Gasoline,,Used,,/offers/aprilia-scarabeo-gasoline-gold-0a6d3fc2-5acc-9b6b-e053-0100007ffba6;
8000,5200,68.0,Peugeot Metropolis,03/2016,Gasoline,Automatic,Used,400,/offers/peugeot-metropolis-400-gasoline-red-854c0b5f-4633-a57c-e053-e350040a848c;
